Tweets,Positive,Negative
 کتے دیا پتر بھن چود کبھی تو پاکستان کے حق میں بول دیا کر مادر چود  ,yes,
 لعنت تیرے منہ پر بہن چود نامرد کشمیر کے مظلوم عوام پر ظلم کرتے ہو  ,yes,
 بہن چود پیپلے  ,yes,
 تیری بہن کو تو ابھی بھی ہندو ہی چود رہے ہیں تمہاری ماں تو ہندوں لن ہی پسند کرتی ھے ,yes,
 یہ بہن چود سیاسی قیدی نہیں ہیں یہ حرامخور نسل کے حرامی غدار ہیں ان کی تو لاشیں بھی نہیں ملنی زندہ تو بہت دور کی بات ہے  ,yes,
 قسم سے تو بہت بڑا بہن چود ہے۔  ,yes,
سنا ہے بچپن میں تو اپنی بہن چلاتا تھا   ,yes,
انگلش میں ٹویٹ کرکے کونسے بہن کے یار کی اطلاع دے رہے ہو  ,yes,
 بہن چود تیری دیدی چور ہے  ,yes,
 بہن چود کتا بندہ کتی بات ہی کرے گا۔ سالے تیرے گھر بھیج دیتے ہیں  ,yes,
مادرچود فرنگی چھترا  ,yes,
 سب سے بڑے مادرچود ہیں یہ دونوں  ,yes,
 جو ڈنڈا تیری امی کو قطری نے دیا تھا اسکے بارے میں کیا خیال ہے مادرچود کتی نسل کے  ,yes,
 تم سب لوڑے اس وقت جمہوریت کی گانڈ میں سوئے مرے تھے جب ماں ئولنا ڈیزل کشمیر کمیٹی کا چئیرمین تھا  ,yes,
 چپ مادرچود بالکل چپ ,yes,
ارے مادرچود مرضی سے کون جاتا ہے جیل ,yes,
 مادرچود فرانس والی فیسلٹیاں بھی دو کراچی میں ۔۔ بیغیرت آدمی ۔ ,yes,
" ویسے زرداری دور میں تو تم بھی ادھر سے ہی بھونکتے تھے، آج ادھر سے بھونک رہے ہو ",yes,
 یہ سارے مادرچود گرفتار ہونے کے بعد ہی بیمار کیوں ہوتے ہیں۔  ,yes,
 یہ بیٹی بیچ ہے مادرچود  ,yes,
کیسی نوکری ہے اس مادرچود کی عید کے دن بھی چھٹی نہیں ہے   ,yes,
تیری ماں علیمہ رنڈی عیاشیاں کر رہی ھے شیخوں کے ساتھ  ,yes,
 مادر چودو حرامی کی اولاد کتی نسل  ,yes,
ایک چوری اوپر سے سینہ زوری ,yes,
کس نے بولا تھا چوری کرو ,yes,
یہ بھوسری کے ساراے مل کر ہم کو چھوٹیا بنا رہے ہیں مادرچود کے بجے  ,yes,
 اس کا مطلب ہے تیری ماں کیسی کتیا کے بچے لعنتی بے غیرت چوتیا مادرچود دھلے  ,yes,
 دلے تو پہلے اپنے باپ سے پوچھ کہ تو اسی کے نطفے سے ہے یا پڑوسی کے چوتیا انسان مزائل نواز شریف نے بنائے ,yes,
مادرچود سایست دان اب بھی اپنی اپنی تصاویر کی دوڑ میں لگے ہوئے ہیں انکے اپنے مرے تو پتہ چلے کہ زندہ گھر سے جانا ,yes,
" لن کی اکلوتی اولاد دفعععععععععع ہوجااااا، مجھ پہ نہ بھونک بھڑوے، مادرچود  ",yes,
 اس بہن کے ٹکے مشتاق مانوس کو دیکھو کشمیر میں ماوں بہنوں بیٹیوں کی عزت لوٹی جارہی ہے ,yes,
 کسی گشتی کے پتر ہیں یہ حرامی کافر مادرچود  ,yes,
یہ مادرچود دَلہ اپنے ناجائز باپوں کو اپ ڈیٹ دے رہا ہے  ,yes,
 وہ تم ہو نا ویسے جتنی تیری ماں بہن کو گالیاں پڑتی ہیں غیرت مند ویسے ہی مر جاتا ہے ,yes,
 اس کو کس مادرچود حرامی نے پاکستان بلوایا اس کی گ میں ڈنڈا ڈال کر اس بھی میکاسنگھ کے ساتھ انڈیا بھیج دو  ,yes,
 سی ایم ھریانہ تیری بیوی اور بیٹیوں کو کشمیر کی پہاڑیوں میں لے جاکر ریپ کریں گے تیری ماں کی چوت حرامی مادرچود  ,yes,
 اور تیری ماں اور بونڈی ھی رھے گا مادرچود  ,yes,
 بھونک مادرچود بھونک  ,yes,
یہ ہے ان بیغیرت لوگوں کا کنجر پنا نا یہ خود کام کرینگے نا ہی کسی کو کام کرنے دینگے  ,yes,
 کوہی کتے کا بچہ ہی ہوگا مادرچود فنکشن ارینج کروانے والا گولی مر دینی چاہے بھارتی فنکار کو بھی ,yes,
مادرچود یہ بھی بتا دو کہ وزیرستان فاٹا اور بلوچستان کے مظلوموں کے لئے کیا کرے ۔۔ بڑوے حد کردی تو نے بوٹ چاٹنے میں  ,yes,
" چپ اوئے، اپنی باجیاں بھیج کر جج گھیرنے والی گندی قوم ک  ",yes,
 وینا جی ہٹلر مسلمانوں کے حق میں تھا اچھا آدمی تھا یہ تو برا ہی مادرچود آدمی ہے  ,yes,
شیدے ٹلی مادرچود جا مر کشمیر تے مادرچود  ,yes,
 سب مادرچود ہیں کسی کو کشمیر کی فکر نہیں  ,yes,
 اب کیا کرنے لگے ہیں مادرچود  ,yes,
 مادرچود دو دودن ٹرینڈ میں ذلیل ہونے کے بعد آج اپنے باپ نواز شریف کی آپشن شامل ہی نہیں کی ,yes,
 مادرچود ہم کشمیریوں کا نام مت لے  ,yes,
 مراد سعید تو حرامی ہے اور تیرا کتا باپ عمرو نیازی مادرچود ہے تم دونوں گانڈو واشل ہو  ,yes,
 واقعی سب کے سب مادرچود ایک صفحےپر ہیں  ,yes,
 ابے مادرچود ۔ سکھ مودی کا فرق سمجھ  ,yes,
" مادرچود، اپنی ماں کے جنازے پر آیا نہیں اور بکواس کر رہا ہے  ",yes,
 یار واقعی ماننا پڑیگا تم ایک حرامی النسل جانور کی پیداوار هو سمجه گئی مادرچود  ,yes,
یہ مادرچود بڑا فیمینسٹ نہیں بڑا مادرچود ہے  ,yes,
یہ بات سچ ہے کہ ہر معاشرے میں اچھے اور بڑے لوگ موجود ہوتےہیں ۔انڈیا میں بھی اچھے لوگ موجود ہیں  ,yes,
مہا دلے ایسا ہی کچھ نام ہے تیرا تیری بہن کوسرعام چودون کسی کنجر کی اولاد  ,yes,
دو مادرچود لاہور کے جنہوں نے رابعہ خان نامی لڑکی کی عزت لوٹی ,yes,
"ایک ہی بار بھارت کے کپورے دھو کر اس پانی سے غسل کرلو ، ہو سکتا ہے مودی سرکار مان جاۓ  ",yes,
" مجھے یہ مادرچود شروع سے ہی برا لگتا تھا ، زندگی کا پہلا ووٹ دیا اس اس بار سلیکشن میں ",yes,
مریم نواز کو میاں نواز شریف کے سامنے گرفتار کیوں کیا؟  ,yes,
 ایویں مادرچود بڈھا کھوسٹ بلاول کے لن کو منہ مین لیتا رہتا ہے  ,yes,
 ابے بھڑوے کی نسل  ,yes,
ایسے ہی ثبوت صیف الرحمن بھی دیتا تھا اور تجھ جیسے بھانڈ شور ڈالتے تھے  ,yes,
 مادرچود بکواس بند کر  ,yes,
 تو بیغیرت ہے مادرچود دلے کنجر کے بچے تم سب چور ہو گشتی کے بچو گندی نالی کے کیڑوں حرام خوروں  ,yes,
 مادرچود انگریزی تو ڈھنگ سے لکھنا سیکھ لے۔  ,yes,
 یہ سچ میں بہت مادرچود  ,yes,
 سلیکٹیڈ نالائق اعظم عمران کتورا دلّا ہے حرامدہ ہے بیغیرت ہے کُتے کا بچہ ہے مادرچود ہے  ,yes,
 یہ ملائشیا نے ماسٹ key دی ہے  ,yes,
 کوئی وجہ ہے کہ اس مادرچود کا خاندان کتے کی موت مارا گیا۔  ,yes,
 اوئے مادرچود ہیجڑو تم سے تو ہیجڑے اچھے ہیں جو کبھی عورت ہہ ہاتھ نہیں اٹھاتے ,yes,
 بلاول کو کہنے والے کتے تم تو کتے کی طرح بکواس کرتا ہے امریکی صدر کی جوتے پالش کرنے والے کتے ہو  ,yes,
 لگتا ہے یہ مادرچود سرپرائز بھول گئے اس کو دوبارہ یاد دلانا پڑے گا  ,yes,
وہ صرف کتے کے بچے تھے۔  ,yes,
"کسی کتی کی بچے، مادرچود بہت ہی گھٹیا ہو تم، حرام کی پیداوار ہو تم ",yes,
 چل مادرچود  ,yes,
 مادرچود کیا الگ گیراج میں لے جا کے گرفتار کرتے۔ کھوتی کے بچو اب پرانی عادتیں بھول جاؤ  ,yes,
 مادرچود نیب کی گاڑی کے آگے لیٹا کیوں نہیں تو  ,yes,
 یہ سب بے غیرت لوگ ہیں ان کو صرف اپنی سیاست بچانی ہے بس چور سب مادرچود ان کو کوئی فکر نہیں ہے ,yes,
بلاول زرداری نے ایوان میں کھڑے ھوکر مریم نواز کی گرفتاری پر عمران خان کو بے غیرت کہا  ,yes,
 یے تم جیسے کنجروں کی وجا سے ھے اگر کشمیر کاسودا انریکا مے ن کرتے ابھی مودی گانڈ مارے گا  ,,no
ان ڈاکٹروں کی گانڈ ماری جانی چاہیے جو کہ رہے تھے کہ فریال تالپر بہت بیمار ھے  ,,no
" گل بخاری، تقی، حقانی کالا سور سلمان حیدر اور تیری گانڈ پاکستانی مارے تو بیرونی مداخلت، اور  رنڈی کے بچے نواز پشتین نے مودی کو اپنے گھر بغیر ویزہ تیری بہن کے بلاتکار کے لئیے بلایا تھا ؟؟  ",,no
 اس کی گانڈ پر اتنے لیتر مارے جائیں کہ یہ سیدہ جہنم رسید ہو۔  ,,no
مجھے معلوم ہے تجھ جیسے ماہا حرامی کی گانڈ جب تک ماری جائے تو بین چود کے بچے کتے کی طرح کاٹتے رہتے ہیں  ,,no
 مادرچود صحافیوں کے نام پہ دھبہ ہے تو  ,yes,
 احتساب مذاق ہے  ,yes,
 گٹر نیوز کے دفتر کو آگ لگائی جاے مادرچود کو  ,yes,
 جو دھندے تم سندھی بھڑوے کرتے ھو وہی بیان کر رھے ھو گانڈو  ,yes,
 تیری ماں کی چوت بجنے پر سالا مادرچود اگر ماں کا دودھ پیا ہے تو ایک بار پاکستان آ میرا بیٹا تیری ماں کو نہ چودا تو کہنا سالے غدار  ,yes,
 مادرچود ایسے بول رہا ہے جیسے نیچے بہت تکلیف ہے تھوووو کتے تجھ پر امریکہ سے سودا منہگا کر کے آۓ ہو  ,yes,
" اس مادرچود کی سنو، تم جا کر ٹی وی شو کرو  ",yes,
اُلو کے پٹھے یہ تیرے کرنے کے کام نہیں ہیں  ,yes,
 اب سمجھ آئی گٹر کو گٹر ھی ریٹویٹ کیوں کرتا ہے مادرچود  ,yes,
" یہ لے اپنی امی جان کی کُس میں تن دے کسی گشتی کے بچے۔ مادرچود، حرام کے پلے۔  ",yes,
 سینٹ کے الیکشن میں بھی ایسے ہی تو ب کر رہا تھا مادرچود  ,yes,
 تیری ماں تیری بہن کے یار ہیں انڈیا والے  ,yes,
یہ وہ مادرچود ہیں جن کی پارلمنٹ کی بلڈنگ بھی پاکستان نے بھیک میں بنا کے دی تھی  ,yes,
 جسکو ٹیگ کررہا ہے نا تو یہ اسی مادرچود حرام النسل گانڈو کی بیٹی ہے  ,yes,
 تو بہت ہی کسی گشتی کا بچہ ہے مادرچود  ,yes,
لٹکاؤ اس مادرچود کو  ,yes,
لٹکاؤ اس مادرچود کو ڈٹ جا اور کھڑا کر کے ,yes,
 کسی ایک مادرچود نے ڈھنگ کا جواب نہیں دیا انڈیا کو  ,yes,
یہ گانڈو خود کو سندھی بولتا ھے مگر فخر بلوچ ھونے پر کرتا ھے ,yes,
 بہن چودو کس نے بولا تھا ملک لوٹو اب دھاڑے مارو مادرچود دو  ,yes,
 ابھی گنجن کی اولاد تیرا بھی وقت آجائے گا بڑے بہت خوب بکواسیات کر رہا ہے مادرچود  ,yes,
 کنجری کے بچے اپنی ماں سے پوچھ کے اس کے اکاؤنٹ میں ڈالر کہاں سے بھڑوے مادرچود  ,yes,
 حرام خور کا پیٹ دیکھو ایک دفع شراب پی کے بھی پکڑا گیا تھا  ,yes,
 بٹھی کتے خنظیر مادرچود یہ وقت نہیں ہے کے تو ابھی بھی ان پر وار کصے اپنے باپ پر کر ,yes,
ڈارمے کررہا ہے مادرچود  ,yes,
 گانڈ ماراو مادرچود ,yes,
 نکل لوڑے پھیلی فرصت میں نکل بھوسڑیکے مادرچود  ,yes,
" اوئے گانڈو کے جھریوں والے لوڑے، تو پہلے لکھنا سیکھ لے مادرچود، جُگت بعد میں ",yes,
 گشتین صاحب کشمیر کی بات کر لو مادرچود  ,yes,
 کون تیری ماں کا ٹھوکو تھا جس نے کشمیری خریت قیادت سے ملنے سے انکار کیا ؟؟  ,yes,
 مادرچود دلے اس اپنے باپ کو بھی سن کیا کہتا ہے  ,yes,
" چپ مادرچود بلکل چپ، جن کتوں کا نام تو لے رہا ہے نا، انکا مالک بھی وہی ہے جو تیرا ہے۔ تجھ جیسے کُتے دلے کے منہ نہیں لگتے ہم ",yes,
 جس انسان کی زندگی دلالی اور PC ہوٹل میں دگڑ دلّا بن کے گُزری ہو اُس مادر چود کو ہاشوانی کنجر کہیں ,yes,
 اس ک کے کہنے کا مطلب ہے یہ کہ پاکستان میں روزانہ دھماکے ہوتے رہے ہیں ,yes,
 نکل بھوسڑی کے مادرچود گانڈو  ,yes,
ابھی تو تم مادرچود فائدہ اٹھانے کی کوشش کر رہی ہو۔ ملک دشمن  ,yes,
 پنڈی کی ٹاپ کی رنڈی سے شادی کی ہے مادرچود کشمیر کا اور سینٹ کے معاملے کا آپس میں کیاتعلق ,yes,
 لگتا ہے سفینا نے اس عمر میں شیخ رشید کے لوڑے کے چوپے لگائے اور کھڑا نا کر پانے کی خفت میں سزا ملی ,yes,
" یہ دیکھ رنڈی کی نسل ، یہ مادرچود غدار وطن ہے ",yes,
" چوتیے تو تم ہو کسی کنجر کی نسل ، مادرچود بیچا تو تمہارے چور گنجے نے کشمیر کو  ",yes,
 تیرا باپ مادرچود بیچ کے آیا ہے حرام کے پِلّے۔  ,yes,
یہاں تو سب یکجہتی کے لیے اکٹھے ہوۓ  ,yes,
 مادر چود رنڈی ,yes,
اس مادرچود نے تو اپنی ماں کو بھی چیلنج کر دیا تھا کہ ثابت کرو تمہارا خاوند ہہی مرا باپ ہے  ,yes,
 اسی معمولی سیلیکٹیڈ نے نواز مادرچود کو لنڈ کے چوپے کروائے ہیں اور تمہاری لیڈرنی کو بھی ,yes,
" گشتی کے بچے، دروازے کی چابیاں تیرے باپ باجوہ کے پاس ہیں۔ مادرچود اس کا نام لے جس نے تیری ماں چودی ہے۔ بھڑوا  ",yes,
 او کسی چمکیلے بڑکیلے لنڈ کو چوسنے کی خواہش کرنے والی گشتوڑی نوازشریف بڑوے کے بیان سن ,yes,
"تیرے جیسے جس مادرچود نے سودا کیا وہ کوٹ لکھپت میں سڑ رہا ہے آج کل ،تو اپنا پچھواڑا بچا جو کسی دن پھٹنے والا ہے  ",yes,
 وہی جو قطری کے پاس مریم بھیجتا تھا مودی کی ماں کو ساڑھیاں بھیجتا تھا نوازشریف مادرچود ,yes,
پاکستان کی صحافت کا مہا حرامی ٹٹے چُک مادرچود  ,yes,
 جاو مادرچود یہ ملک کا بیڑا غرق کردیا تم لوگوں نے  ,yes,
 چپ گشتی کے بچے ہم بھولے نہیں جب نواز UN میں برہان وانی کا کیس لڑو رہا تھا تو ,yes,
"مادرچود، دلے کی بچی زنا کی پیداوار یہ دیکھ تیرے حرامی باپ نے کیسے پاکستان اور کشمیر سے غداری کی تھی۔ حرام کی اولاد ",yes,
 تیری ماں کو چودا ہے لیگیوں نے گشتی علیمہ رانڈ کا بھائی کتے کا بچہ عمران نیازی مادرچود نے کشمیر بیچ دیا ,yes,
 تو گدھے کا بچہ ہے مادرچود  ,yes,
 لکھ دی لعنت تہاڈے منہ چہ کھوتے خور پٹواریوں دی نانی اماں مودی کے یار غدار باپ ,yes,
" گشتی ماں کے بچے، کسی سورنی کا کتا ہے تو مادرچود  ",yes,
 اگر تب تو نے اشمت سے اپنی چوت نہ پڑوائ ہوتی تو آج تیرے گھر کُتے کا بچہ نا ہوتا مادرچود رنڈی  ,yes,
ایسے مادرچود یوتھئے ہیں کہ کشمیر ہاتھہ سے نکل رہا ہے لیکن یوتھئے ابھی بھی کشمیر کی ثالثی پر نیازی کی واہ واہ کررہے ,yes,
" مادرچود Freedom of expression جو اپنی وال پر لکھ لگایا ہے، وہ اب کشمیر میں تجھے نظر نہیں آتا؟؟؟  ",yes,
 کھسرے ملک خانہ جنگی کی حالت میں ہے کشمیر میں روزانہ کتنے لوگ شہید ہو رہے ہیں ,yes,
دنیا گول نہیں مادرچود ہے  ,yes,
 میڈم ریپ زدہ لاشیں ن لیگ کی دفتر سے نکلتے ہے اور زنا کار پی ٹی آئی والوں کو کیو ؟ مادرچود  ,yes,
جس مادرچود کو پیدا کرنے کے بعد ماں چاٹنا تک پسند نہیں کرتی ,yes,
 ایک یہ مادرچود کا بچہ کھلا چھوڑا ہوا ہے کتے کی طرح بھونکتا رہتا ہے۔  ,yes,
 تب یہ مادرچود ایم کیو ایم میں تھا اور اپنا سیاسی چکلہ پی ایس پی نہیں کھولا تھا  ,yes,
 دونوں ہی مادرچود ہیں   ,yes,
یدی کے اپنی کالی بوتھی تو ڈی پی پے دکھا نہیں سکتا اور بھوکے پاکستانی ہیں  ,yes,
 نام ہے نورانی لیکن ہے مادرچود لعنتی  ,yes,
 تو بکواس بند کر ,,no
 بکواس بند کر عمران خان تیرا ابا ہے جو ناجائز دفاع بھی کیے جا رہا ہے  ,,no
 جہاں اسمبلیوں میں تیرے جیسے بھونکو ہوں ایسی اسمبلیوں کو آگ لگا دینی چاہیئے  ,,no
" جتنا بھی چیخو، چلاو، پروپیگنڈہ کرو، جھوٹ بولو، بکواس کرو، اپنے پٹواریوں کو گمراہ کرو، کشمیر کارڈ  نہیں چلے گا ",,no
 کون لوگ ھو تُسی دماغوں میں بھوسا بھرا ھویا ہے کیا جو فالتو کی بکواس کرتے پھرتے ھو  ,,no
 پاکستان کو پہلے اندر سے غدار دشمنوں کا خاتمہ کرنا ضروری ہے چاہے سیاستدان یا صحافی ہی کیوں نہ ہو ,,no
 عید قربان کے موقع پر بکواس کرنے والے یورپین لوگوں کو اسپین میں بطخ کا گلا گھونٹ کر مارنے کا تہوار بھی دیکھں ,,no
 یہ جو ملک بیچنے کی بکواس کر رہے ہیں بندا ان سے پوچھے  ,,no
 بکواس بند آج اس کتے کا انڈیا میں بھگت رہے ہیں پاکستان اور کشمیر کے مسلمان ایک بیغیرت بدزات جس نے مسلمانوں کو زلیل کیا ,,no
کوٸ کیسے بکواس کر سکتا ھے کہ وردی والے دہشتگرد ھیں پی ٹی ایم کے حرامخور کان کھول کر سن لیں انہی وردی والوں کے خون کی وجہ سے کشمیر پاکستان کے پاس تھا جو اب بھارت کے پاس ہے ,,no
 واہ ایک عورت لوگوں کو دھمکا سکتی ہے سرے عام فوج کو گالیاں دے سکتی ہے ,,no
حامد میر پاک آرمی کے خلاف بکواس کرتا ہے ریاست سے یہ اپیل ہے کہ اس پر غرداری کا مقدمہ درج کر کے سزائے موت دی جائے ,,no
 مریم کے تلوے چاٹنے والے بکواس بند کر  ,,no
 یار اس وقت آپ اپنی بکواس بند رکھو سنجیدہ معاملہ ہے مسخروں کو اجازت نہیں بولنے کی ,,no
شرم کریں  کھوتی کے بچے بکواس بند کر۔ کشمیری اور پاکستانی ہی کافی ہیں اس انڈیا کے گند کو ختم کرنے کے لیے ,,no
 اس کنجر انسان کو کھسرے کو کوئی روکنے والا نہیں ہے  ,,no
یہ کتے کا بچہ کیا بکواس کر رہا ہے ذرا ملاحظہ فرمائیں کہ کشمیر اور پاکستان انڈیا کا حصہ ہیں  ,,no
بندہ لا لوے جتی تے مارے  بکواس نہ کر کتے  ,,no
 نہ صرف تربیت کا پتہ چلتا ہے بلکہ تخم کا بھی پتہ چلتا ہے  ,,no
 بھٹی صاحب اپنی زبان کو لگام دو اور یہ روزانہ کی بکواس بند کرو ,,no
" ریاستی اداروں، ملک وطن کے خلاف جو بکواس کرے ادارے اسے گرفتار کریں ",,no
 ان کو معلوم ھے کہ عمران باجواہ اور غفور کے ھوتے ھوۓ یہ لوگ ٹویٹ ھی کر سکتے ہیں جنگ نہیں ,,no
 عثمان ڈار تم اپنی بکواس اپنے پاس رکھو یہ ہسپتالوں کے دورے کرنا سیاستدانوں کے لئے ایک بالکل معمول کی بات ہے  ,,no
 اگر وہ لڑنے سے ڈرتے ہیں تو ُتم بارڈر پر جاؤ اور لڑو اگر ہمت ہے تو ورنہ یہ کھسروں والی بکواس بند رکھو اپنی  ,,no
 انتہائی بکواس قسم کی سروس ہے پی آئی اے کی۔ چائینہ سے آو گے تو زلیل وخوار ہوگے۔اوپر سے سامان کی ٹینشن الگ سے ,,no
 بکواس بندکرو اور عورت کارڈ مت کھیلو کس نے کہا ہے چوریاں کرو اور fake اکاؤنٹ بناؤ تم تو ویسے ہی بری گھٹیا عورت ہو ,,no
 ان بےغیرتوں کو کسی بل میں گھس جانا چاہیے  شرم سے ڈوب مرنے کا مقام ہے بیغیرتوں کے لئے ,,no
 جیل بھیجنا تو چھوٹی بات ھے ان بیغیرتوں نے ماڈل ٹائوں میں عورتوں کو منہ پر گولیاں مار کر مار دیا تھا ,,no
 یہ کنجری عورتیں ہیں ان بےغیرتوں کو ننگا کر کے چوک پر کھڑا کر دو یہی ان بےغیرتوں کی پہچان ہے  ,,no
 اور تو مراثی ابھی بھونکنے کے لئے زندہ ہے۔ کے پی کے کتنی لوگ مر گئے ۔۔ مگر تیرے جیسے بیغیرتوں کی غیرت نہیں جاگی ,,no
 جنگ بیشک نہ لڑے وہ اپنی جنگ نہیں لڑ سکتے ہماری کیا لڑینگے ان بیغیرتوں سے ملکر ایک چھوٹا سا اسرائیل قابو نہیں کیا جا رہا ,,no
 جنگ ہمیشہ اپنے قوت بازو پر لڑی جاتی ہے۔ آج کشمیری مائیں بہنیں مدد کے لیے پکار رہی ہیں ,,no
 بےغیرتوں کا تخم تو خود ہے بلاول ذوالفقار علی بھٹو کے نام پر کلنک ,,no
بے غیرت حکومت نے آمریت قائم کی ہوئی ہے اس بے غیرت کا انجام بھی بڑا عبرت ناک ہوگا لعنت ہو بےغیرتوں پر ,,no
 یہ قبروں کی کمائی کھانے والے پیرنیوں فقیروں تعویز دھاگوں جادو ٹونے کرنے والے جو شرک کے گنہگار ھیں انکو عبرت ناک سزا دینی چاہیے ,,no
 لعنت اے ساڈھے تے بیغیرتوں اُٹھ جاؤ کی پاکستان دے مولوی وی مر گئے نے سب چور نے  ,,no
 تیرا ابا خان تو بک گیا بیغیرتوں تم لوگ بہنوں کے سودے کرنے والے ہو کنجروں ,,no
 کسی دن پبلک نے یہ حال کرنا ہے تم بُزدل بیغیرتوں کا ,,no
ان بے شرموں غداروں اور بیغیرتوں کا منہ کالا کر کے گدھے پر بیٹھا کر پورے پاکستان کا چکر لگوانا چاہیے ,,no
 ان بےغیرتوں کو پھانسی لگاؤ   لعنت تم بیغیرتوں پر ,,no
" ان بیغیرتوں کی حکومت بہنوں اور بیٹیوں کو جیل نہیں بھیجتی، یہ سیدھا منہ پر گولی مارتے ہیں ",,no
 ان بےغیرتوں نے ایک دن مر جانا پیپلز پارٹی سے سڑ سڑ کے  ,,no
 کشمیر کا سودا کرنے والے بیغیرتوں پر الللہ کا عزاب نازل ہو لعنت ایسی حکومت پر اور اسکے وزیروں پر  ,,no
" کیسا چَوَل لفافہ ہے،ان بےغیرتوں سےابھی تو جان چُھوٹی ہے خدا خدا کر کے اور تمُ انکی دوبارہ حکومت میں آنے کی ",,no
تُم بیغیرتوں کی دوزخ میں رہو ,,no
 یہ بیغیرتوں کے ٹولے کا ادنا سا پیادہ ہے یہ وہی کچھ بک رہا ہے جو اسکو ڈکٹیٹ کیا گیا ہے ,,no
" اوئے مریم کے گمشدہ کتورے ،اوہ بیغیرتوں کا اک پورا میگزین، شکل دیکھ اپنی آئینے ",,no
 ان بیغیرتوں نے تمھیں کتنے کا بیچا کہا ؟  ,,no
 ایک تو اسی ڈر سے کشمیر بھاگ گیا ہے کاش کراچی کی عوام ان بیغیرتوں کا گلا پکڑ سکے لیکن وہ بھی برابر کے ذمہ دار ہیں  ,,no
"ﻣﻘﺒﻮﺿﮧ ﮐﺸﻤﯿﺮ ﻣﯿﮟ ﻣﺠﺎﮨﺪﯾﻦ ﮐﺎ ﺑﮭﺎﺭﺗﯽ ﻓﻮﺝ ﮐﮯ ﮨﯿﮉ ﮐﻮﺍﺭﭨﺮ ﭘﺮ ﺣﻤﻠﮧ ،ﻣﯿﺠﺮ ﺳﻤﯿﺖ ﻓﻮﺟﯽ ﺟﮭﻨﻢ ﻭﺍﺻﻞ ، شدید ﺯﺧﻤﯽ  ",,no
انڈیا کشمیر میں بچوں تک کو مار رہا ہے اور کُچھ بیغیرتوں کو جانوروں کی قربانی پر درد اُٹھ رہا ,,no
 اب تو ان پر فرض ہو گا کہ ضرور بھیجیں نہیں تو میں اپنا ووٹ ضائع کر دونگا۔ اگر ہم ان بیغیرتوں کو سبق نہی… ,,no
بیغیرتوں کا احتجاج کرنے کا اعلان ,,no
 ان بے شرموں غداروں اور بیغیرتوں کا منہ کالا کر کے گدھے پر بیٹھا کر پورے پاکستان کا چکر لگوانا چاہیے,,no
 اللہ کی لاٹھی تو تم بےغیرتوں پر پڑنی چاہیۓ۔ جو اتنی دور امریکہ تک گۓ صرف کشمیر حوالے کرنے۔ ,,no
میرا میسیج ہے ان پاکستانی بےغیرتوں کے لئے ہے ڈوب کر مرجاو تم نہ تو پاکستانی ہو نہ ہی انسان ,,no
 یہ سب ان بیغیرتوں کیوجہ سے ہے جو مشرف کی گود میں بیٹھے رہے ,,no
 بیغیرتوں کی ٹولیاں بس اور کچھ نہیں  ,,no
 کب سندھ میں بٹھو مرے گا اورکب ان بےغیرتوں اورحرام خوروں سے پاکستان کو نجات ملے گی ,,no
بھول کر بھی تم لوگوں کی زبان پر نہیں آئے گا ,,no
 بےغیرتوں بے شرموں۔ کراچی ڈوب رہا ہے۔ تم نے کیا کر لیا ؟  ,,no
 بات احسان جتانے کی نہیں ہے بلکہ بات بیغیرتوں کو غیرت دلانے کی ہے کہ وہ پاک فوج پر بھونکتے ہیں ,,no
کبھی ڈاکے مارتے ہوئے دن اور رات میں تفریق رکھی نہیں نا  ,,no
ایک بغیرت کہتا تھا یہ کون ہوتے ہے ہمارے معاملوں میں داخل اندازی کرنے والے  ,,no
 جب پڑتے ہیں نہ ان جسے بیغیرتوں کو چھتر اسی رینجرز و فوج سے پھر انکو نانی یاد آتی ہے ,,no
 اسلۓ کہ تمھارا آقا کے آگے لیٹا ھوا تھا۔ بیغیرتوں کچھ تو آپنی عاقبت کا بھی سوچ لو,,no
 لعنتی شیدا کتا انڈیا سے زیادہ تم کتوں نے میڈیا کو یرغمال بنایا ہوا ہے جب کرتوت مودی جیسے ہوں تم بیغیرت ہی ہو گا ,,no
 اللہ تعالی بےغیرتوں کو تباہ کرے  ,,no
ووٹ صرف ان بےغیرتوں کو تن کے رکھنے کے لئے دیا ہے  ,,no
چوروں اور لفافیوں کو تن کے رکھو  ,,no
یے عورت کے نام پر بدنامی کا دھبہ ہے  ,,no
 ابھی ان بیغیرتوں کے وٹ یعنی بل سیدھے کیے جا رہے ہیں فائنل پھانسی کی سزا تو انشاءاللہ ماڈل ٹاؤن کیس میں ہی ہو گی ,,no
 تم بھی صحافی بننے کا خواب دیکھتے دیکھتے حرامی بن گۓ ہو ,,no
 کمینے اور حد سے گٹھیا انسان تو چاہتا کیا ہے کہ پاکستان جنگ کر دے اور بیغرت انسان مودی حرامی کو سبق سیکھا دے ,,no
لگتا ہے حرامی ہندووں تم اپنے باپ ٹیپو سلطان کو بھول چکے ہو جس کے آنے سے تمہاری ماوں کے بچے گر جایا کرتے تھے ,,no
 کیونکہ اب فواد حرامی جیسے کنجر ہمارے حکمران ہیں جو کشمیر کو بیچ آئے ہیں۔ ہمیں تم جیسے بے غیرت نہیں چا ہیے ,,no
